symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout_pct,ema_aligned,fractal_break,is_late,rsi_raw,rsi_zone,sar_trend,taker_buy,vol_ratio,vs_btc_pct
ARBUSDT,2026-09-02 23:15,1788380100000,71.25,strong,1h,14.405,0.1231,-0.569,-1.056,-0.812,0.0,-0.7258,0.0,0,0.0,0,66.714,0.9061,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-02 23:45,1788381900000,69.59,watch,1h,14.808,0.1225,0.245,-0.49,-0.408,0.0,-1.2097,0.0,0,0.0,0,65.27,0.8648,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 00:15,1788383700000,68.25,watch,1h,14.648,0.1221,0.983,0.41,0.573,0.0,-0.6509,0.0,0,0.0,0,64.094,0.8313,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 00:45,1788385500000,67.91,watch,1h,13.173,0.122,1.885,0.82,1.885,0.0,-0.7323,0.0,0,0.0,0,63.796,0.8227,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 01:15,1788387300000,69.47,watch,1h,13.284,0.1228,1.792,1.14,1.629,0.0,0.5733,0.0,0,0.0,0,65.159,0.8617,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 01:45,1788389100000,71.46,strong,1h,14.246,0.1243,-0.563,-1.126,-0.805,0.0,1.8018,0.0,0,0.0,0,66.906,0.9116,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 02:15,1788390900000,72.38,strong,1h,14.286,0.1248,0.08,-0.561,-0.561,0.0,1.1345,0.0,0,0.0,0,67.706,0.9344,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 02:45,1788392700000,69.59,watch,1h,11.786,0.1233,0.243,-0.406,0.0,0.0,-0.081,0.0,0,0.0,0,65.27,0.8649,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 03:15,1788394500000,71.14,strong,1h,13.853,0.1241,-0.483,-1.128,-0.483,0.0,0.0,0.0,0,0.0,0,66.62,0.9034,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 03:45,1788396300000,67.71,watch,1h,13.956,0.1233,1.379,0.243,0.324,0.0,-0.6446,0.0,0,0.0,0,63.624,0.8178,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 04:15,1788398100000,67.86,watch,1h,12.58,0.1235,3.887,2.996,2.996,0.0,0.4065,0.0,0,0.0,0,63.754,0.8215,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 04:45,1788399900000,70.87,strong,1h,12.968,0.1237,6.629,4.608,6.386,0.0,0.5691,0.0,0,0.0,0,66.39,0.8969,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 05:15,1788401700000,84.85,strong,15m,16.058,0.1272,3.066,2.594,2.673,0.0,-0.3135,0.0,0,0.9207,0,66.584,0.9024,0.7352,0.0,0.0,0.0
ARBUSDT,2026-09-03 05:45,1788403500000,100.0,late,15m,17.71,0.1316,-2.508,-3.04,-2.812,0.0,1.6216,0.0,0,1.0,1,77.507,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 06:15,1788405300000,100.0,strong,1h,15.883,0.1306,-0.919,-1.761,-1.149,0.0,-1.1355,0.0,0,1.0,0,71.983,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 06:45,1788407100000,70.11,strong,1h,13.588,0.1279,1.876,0.625,1.72,0.0,-3.1794,0.0,0,0.0391,0,64.862,0.8532,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 07:15,1788408900000,70.18,strong,1h,13.246,0.1291,0.775,0.155,0.62,0.0,1.414,0.0,0,0.0,0,65.783,0.8795,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 07:45,1788410700000,71.15,strong,1h,15.747,0.1301,0.999,-0.461,0.846,0.0,2.1995,0.0,0,0.0,0,66.627,0.9036,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 08:15,1788412500000,69.68,watch,1h,14.55,0.1299,4.003,3.079,3.464,0.0,-0.6121,0.0,0,0.0,0,65.346,0.867,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 08:45,1788414300000,73.74,strong,1h,15.901,0.1312,2.058,0.61,1.829,0.0,0.3826,0.0,0,0.0,0,68.894,0.9684,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 09:15,1788416100000,91.07,strong,15m,18.414,0.1344,0.223,-0.893,0.074,0.0,-0.5181,0.0,0,0.9863,0,68.313,0.9518,0.8098,0.0,0.0,0.0
ARBUSDT,2026-09-03 09:45,1788417900000,83.48,strong,1h,17.399,0.1336,1.347,0.674,1.123,0.0,1.5198,0.0,0,0.3391,0,71.301,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 10:15,1788419700000,91.96,strong,1h,16.551,0.1345,3.197,1.933,2.23,0.0,-0.3704,0.0,0,0.6782,0,71.205,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 10:45,1788421500000,97.61,strong,1h,17.991,0.1351,1.258,0.37,0.74,0.0,0.0741,0.0,0,0.9043,0,72.605,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 11:15,1788423300000,100.0,strong,1h,15.838,0.1375,0.073,-1.164,0.0,0.0,0.1457,0.0,0,1.0,0,74.713,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 11:45,1788425100000,100.0,strong,1h,16.325,0.1361,3.821,1.396,1.47,0.0,-0.874,0.0,0,1.0,0,71.368,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 12:15,1788426900000,100.0,strong,1h,17.521,0.1375,1.745,0.727,1.527,0.0,1.2518,0.0,0,1.0,0,72.452,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 12:45,1788428700000,100.0,strong,1h,20.296,0.1381,-1.376,-2.462,-2.317,0.0,1.6937,0.0,0,1.0,0,73.203,1.0,1.0,0.0,0.0,0.0
ARBUSDT,2026-09-03 13:15,1788430500000,100.0,strong,1h,24.754,0.1396,-1.146,-2.507,-1.719,0.0,1.013,0.0,0,1.0,0,74.537,1.0,1.0,0.0,0.0,0.0
