symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout,breakout_pct,btc,candle,ema,ema_aligned,is_late,rsi,rsi_raw,squeeze,taker,taker_buy,vol,vol_ratio,vs_btc_pct
AAVEUSDT,2026-09-04 15:05,1788523500000,87.13,strong,5m,3.527,135.04,-2.407,-2.829,-2.644,3.6765,0.8213,0.3618,0.7235,0.5695,0.9581,1.0,1,0,0.6161,70.606,1.0,1.0,0.79854,1.0,6.7179,0.8389
AAVEUSDT,2026-09-04 15:35,1788525300000,60.61,watch,5m,0.343,131.66,-0.547,-1.147,-0.608,1.2197,0.1064,0.0,-3.0986,0.0,0.6906,0.3,0,0,0.0,30.878,0.919,0.6234,0.68209,1.0,5.0641,-0.9367
AAVEUSDT,2026-09-04 19:25,1788539100000,58.16,watch,5m,-0.605,131.51,-0.335,-0.578,-0.426,0.5394,0.0533,0.0,-0.0456,0.1468,0.9692,1.0,1,0,0.8603,55.485,1.0,1.0,0.81743,0.0,0.4976,-0.0064
AAVEUSDT,2026-09-04 23:00,1788552000000,72.38,strong,5m,-2.581,130.61,-0.368,-0.582,-0.49,0.9841,0.0077,0.0,-0.3129,0.1053,0.6286,0.3,0,0,0.4581,48.246,1.0,1.0,0.86849,0.9525,4.0575,-0.0894
AAVEUSDT,2026-09-05 03:00,1788566400000,77.95,late,5m,-1.86,130.31,0.56,0.399,0.522,0.9929,-0.0537,0.0,-0.1532,0.2427,0.4421,1.0,1,1,0.8195,61.25,1.0,1.0,0.87291,1.0,4.4073,0.1854
AAVEUSDT,2026-09-05 03:30,1788568200000,58.35,watch,5m,-1.797,130.62,0.023,-0.13,-0.122,1.386,-0.1147,0.0,-0.7371,0.2616,0.3615,0.3,0,1,0.9355,56.839,1.0,0.9576,0.76899,0.3572,2.2717,0.2232
AAVEUSDT,2026-09-05 05:35,1788575700000,64.21,watch,5m,-2.454,130.78,-0.084,-0.206,-0.153,2.042,0.2299,0.0,-0.0076,0.359,0.8429,0.3,0,0,0.9387,56.896,1.0,0.67,0.69419,0.6357,3.1071,0.4181
AAVEUSDT,2026-09-05 13:30,1788604200000,60.18,watch,15m,-2.144,130.54,-0.452,-0.544,-0.513,0.426,0.1534,0.0,-0.5561,0.4265,0.9727,1.0,1,0,0.9679,58.579,1.0,1.0,0.81012,0.0,0.0392,0.553
AAVEUSDT,2026-09-05 15:15,1788610500000,64.37,watch,5m,-4.137,129.99,0.623,0.231,0.315,1.6564,0.1695,0.0,-0.3068,0.1623,0.8917,0.3,0,0,0.5387,49.697,1.0,0.4223,0.62979,1.0,6.2894,0.0247
AAVEUSDT,2026-09-05 16:20,1788614400000,58.16,watch,5m,-0.729,130.66,-0.421,-0.574,-0.421,1.3798,0.1917,0.0,-0.1605,0.104,0.8923,1.0,1,0,0.9779,57.602,1.0,1.0,0.78307,0.0,0.6455,-0.092
AAVEUSDT,2026-09-05 17:50,1788619800000,58.2,watch,5m,0.941,130.86,0.909,0.619,0.879,0.9759,0.2144,0.0,-0.0458,0.3939,0.98,1.0,1,0,0.7279,62.899,1.0,1.0,0.8057,0.0,0.3077,0.4878
AAVEUSDT,2026-09-05 18:35,1788622500000,64.1,watch,15m,0.594,132.05,0.045,-0.295,-0.227,1.6555,0.6402,0.255,0.51,0.9028,0.9966,1.0,1,0,0.4704,72.355,1.0,0.7353,0.71118,0.341,2.2231,1.5056
AAVEUSDT,2026-09-05 21:40,1788633600000,67.52,late,5m,3.253,134.91,0.274,-0.334,0.274,1.5287,0.3198,0.2,0.3198,0.6665,0.9219,1.0,1,1,0.0,80.253,1.0,0.5614,0.66597,0.8753,3.8259,1.0331
AAVEUSDT,2026-09-05 22:15,1788635700000,63.37,watch,5m,3.033,134.85,0.082,-0.386,-0.237,1.2182,0.3498,0.0,-0.3031,0.3002,0.9516,1.0,1,0,0.7,68.302,1.0,1.0,0.78472,0.2421,2.1925,0.3004
AAVEUSDT,2026-09-06 03:35,1788654900000,58.75,watch,5m,3.889,135.98,2.243,1.633,2.221,2.3157,0.1399,0.0,-0.0074,0.6538,0.6535,1.0,1,1,0.7,67.65,1.0,0.0,0.4494,1.0,7.8741,1.0075
AAVEUSDT,2026-09-06 08:35,1788672900000,80.46,strong,5m,5.592,136.72,-0.834,-1.031,-0.951,2.6882,0.7368,0.2573,0.5146,0.6461,0.9609,1.0,1,0,0.6747,69.903,1.0,1.0,0.84056,0.751,3.4531,0.9923
AAVEUSDT,2026-09-06 12:20,1788686400000,58.49,watch,5m,3.562,134.63,0.067,-0.201,-0.201,1.0155,0.2233,0.0,-0.1927,0.2214,0.9818,0.3,0,0,0.6234,51.222,1.0,0.6833,0.69766,0.4625,2.5874,0.1427
AAVEUSDT,2026-09-06 13:15,1788689700000,69.73,watch,5m,3.273,134.72,0.683,0.416,0.609,1.6776,0.2829,0.0,-0.1186,0.1115,0.946,1.0,1,0,0.8265,54.877,1.0,0.7408,0.71261,0.7165,3.3495,-0.077
AAVEUSDT,2026-09-06 21:25,1788719100000,65.07,watch,5m,-0.105,133.61,-0.494,-0.651,-0.509,0.6977,0.1574,0.0,0.0,0.1816,1.0,1.0,1,0,0.7853,54.136,1.0,1.0,0.95015,0.2824,2.3378,0.0631
AAVEUSDT,2026-09-06 22:40,1788723600000,63.85,watch,5m,-1.885,132.73,0.422,0.249,0.414,1.1263,0.0905,0.0,-0.7997,0.0972,0.8219,0.3,0,0,0.0,38.395,1.0,1.0,0.97551,0.6817,4.4052,-0.1057
AAVEUSDT,2026-09-06 23:40,1788727200000,59.58,watch,5m,-1.017,133.28,1.268,0.923,1.11,0.9807,0.1127,0.0,-0.0075,0.2063,0.987,1.0,1,0,0.9854,58.262,1.0,1.0,0.83125,0.0,0.7775,0.1125
