min_score,pullback_pct,timeout_bars,tp_pct,sl_pct,trailing_act,trailing_dist,total_signals,filled_trades,fill_rate_pct,win_rate_pct,net_pnl_pct,profit_factor,expectancy_pct,max_dd_pct,oos_win_rate_pct,oos_net_pnl_pct,score_metric
75.0,0.8,2,0.7,2.0,1.2,0.4,44989,493,0.9,91.3,270.98,3.70,0.505,6.85,91.4,122.12,100.70
70.0,1.0,4,0.7,3.0,2.0,0.6,44989,725,1.5,91.7,303.91,3.11,0.422,7.22,91.8,111.13,100.60
75.0,0.8,3,0.8,3.5,1.2,0.4,44989,616,1.2,91.7,336.87,2.87,0.484,7.48,92.9,155.34,100.52
65.0,1.0,4,0.7,3.0,1.2,0.4,44989,985,2.0,91.0,443.90,2.80,0.434,8.72,91.4,176.99,100.49
65.0,1.0,4,0.7,3.5,1.5,0.5,44989,985,2.0,92.1,431.22,2.86,0.414,8.37,92.7,176.74,100.48
75.0,1.0,2,0.8,3.0,1.5,0.5,44989,353,0.7,92.6,247.70,4.56,0.667,8.06,92.8,104.25,99.99
70.0,1.0,2,0.7,3.0,2.5,0.8,44989,460,0.9,93.5,212.87,3.62,0.449,6.07,93.8,85.71,99.74
65.0,0.8,2,0.7,3.5,2.5,0.8,44989,880,1.7,94.1,343.94,3.48,0.395,7.70,93.6,132.45,99.23
65.0,1.0,3,0.7,3.5,2.0,0.6,44989,825,1.6,92.8,338.85,2.84,0.393,7.27,93.1,140.64,98.92
60.0,1.0,2,0.7,3.5,2.5,0.8,44989,744,1.4,94.4,311.05,3.52,0.416,7.48,94.2,122.89,98.60
60.0,1.0,2,0.7,3.0,2.0,0.6,44989,744,1.4,93.4,329.87,3.32,0.433,7.72,93.5,134.17,98.58
75.0,1.0,4,0.7,3.0,2.5,0.8,44989,537,1.1,92.0,213.80,3.16,0.407,5.98,91.6,77.34,98.54
55.0,1.0,2,0.8,3.0,1.5,0.5,44989,1066,2.1,91.4,514.21,2.88,0.463,9.95,91.7,211.60,98.48
55.0,1.0,2,0.7,3.5,1.5,0.5,44989,1066,2.1,94.5,532.03,4.18,0.497,11.22,94.2,207.10,98.42
60.0,0.8,2,0.7,3.0,1.5,0.5,44989,1095,2.1,91.9,425.76,2.66,0.377,8.10,91.6,175.01,98.31
70.0,1.0,4,0.8,3.5,1.5,0.5,44989,725,1.5,90.2,357.82,3.28,0.522,9.34,88.8,119.34,98.24
70.0,1.0,3,0.7,2.5,1.2,0.4,44989,616,1.2,89.9,309.33,3.11,0.495,7.88,89.0,121.80,98.13
65.0,0.8,2,0.7,3.0,2.0,0.6,44989,880,1.7,92.6,344.27,2.97,0.388,7.49,92.2,136.86,98.08
55.0,1.0,2,0.8,3.5,1.5,0.5,44989,1066,2.1,92.6,547.55,3.35,0.504,11.22,92.7,218.13,97.52
75.0,0.8,4,0.7,3.0,1.2,0.4,44989,712,1.4,91.0,335.10,3.24,0.457,8.03,90.3,132.68,97.41
75.0,1.0,2,1.0,3.0,1.2,0.4,44989,353,0.7,89.0,248.23,3.04,0.641,7.50,90.6,110.41,97.26
75.0,0.8,2,0.8,3.0,2.0,0.6,44989,493,0.9,93.1,270.80,3.18,0.486,6.94,94.4,127.54,96.86
60.0,1.0,2,0.8,3.5,2.5,0.8,44989,744,1.4,92.5,330.51,3.12,0.448,8.15,92.1,128.06,96.48
65.0,1.0,4,0.8,3.5,2.0,0.6,44989,985,2.0,89.5,382.29,2.44,0.393,8.07,89.5,140.49,96.36
60.0,1.0,2,0.8,3.0,1.2,0.4,44989,744,1.4,91.3,404.66,3.15,0.525,9.62,91.1,167.16,96.14
75.0,0.8,2,0.8,3.5,2.0,0.6,44989,493,0.9,94.5,289.93,3.44,0.507,7.48,96.5,140.48,95.65
65.0,1.0,3,0.7,3.0,1.2,0.4,44989,825,1.6,91.8,401.84,2.89,0.452,8.72,92.2,173.80,95.61
75.0,1.0,2,1.0,3.0,1.5,0.5,44989,353,0.7,89.0,247.11,3.04,0.642,7.66,90.6,109.06,95.61
75.0,0.8,3,0.7,3.5,2.0,0.6,44989,616,1.2,93.2,274.82,3.36,0.423,6.98,93.4,116.24,95.52
